"","Field_ID","Date","Date2","Replicate","Treatment","Dispersal","Salinity","Salinity_real","NH4um","NO3um","PO4um","Maple_dmass","Spartina_dmass","Phrag_dmass","Sample..","richness","shannon","simp.even","J"
"CSI051",228,"7/26/15",45,"A",8,3,9,8.54,1.41,0.54,0,1.39,0.47,4.01,"A_8_11JUN15",300,2.60238620697681,0.0152600173782527,0.456523457073513
"CSI052",229,"7/26/15",45,"A",9,2,13,10.55,1.04,0,0,1.07,0.83,0.79,"A_9_11JUN15",340,3.2979775290162,0.0335611744381737,0.566079208415785
"CSI053",230,"7/26/15",45,"A",10,3,13,10.92,1.18,0,0.08,2.23,1.66,5.48,"A_10_11JUN15",612,4.09518901618132,0.0334868698797055,0.638367438909317
"CSI054",231,"7/26/15",45,"A",11,2,0,0.44,1.14,0,0.11,2.52,1.85,5.2,"A_11_11JUN15",725,4.21416240450644,0.0240277156707942,0.639984192875033
"CSI058",235,"7/26/15",45,"B",4,3,0,0.51,1.24,0,0,1.7,1.75,5.17,"B_4_11JUN15",982,5.32983404278481,0.0646823406908172,0.773721126411887
"CSI059",236,"7/26/15",45,"B",5,2,5,5.02,1.27,0,0,1.85,1.93,6.52,"B_5_11JUN15",947,5.35016265503316,0.0862550218793404,0.780790026202099
"CSI060",237,"7/26/15",45,"B",6,3,5,4.58,1.25,0,0,1.89,1.56,4.3,"B_6_11JUN15",622,3.70367435960123,0.0210283324676974,0.575879909215897
"CSI061",239,"7/26/15",45,"B",8,3,9,8,1.69,0,0,1.76,1.62,5.47,"B_8_11JUN15",516,3.64360866713162,0.0188848429719926,0.583521985413989
"CSI062",240,"7/26/15",45,"B",9,2,13,11.33,2.18,0,0,1.69,1.41,2.84,"B_9_11JUN15",925,5.11649989788693,0.0656763606667441,0.749262795708544
"CSI063",241,"7/26/15",45,"B",10,3,13,11.11,1.5,0,0,1.67,1.51,4.67,"B_10_11JUN15",815,5.14266262434489,0.0754795188547491,0.767337069080921
"CSI064",242,"7/26/15",45,"B",11,2,0,0.39,NA,NA,NA,2.1,1.88,5.55,"B_11_11JUN15",761,4.70755683391764,0.0474651454334028,0.709683528880372
"CSI068",246,"7/26/15",45,"C",4,3,0,0.48,1.69,0.56,0,2.89,2.4,7.26,"C_4_12JUN15",996,5.39249727728828,0.0835451499294388,0.781210814689585
"CSI069",247,"7/26/15",45,"C",5,2,5,4.19,2.21,0,0,2.08,1.83,5.19,"C_5_12JUN15",690,4.77623643657155,0.0483013851399081,0.730843168370236
"CSI070",248,"7/26/15",45,"C",6,3,5,4.71,1.2,0,0,1.9,1.7,5.42,"C_6_12JUN15",479,3.40631932941051,0.0223105551996191,0.552112520077089
"CSI071",249,"7/26/15",45,"C",7,2,9,7.41,1.22,1.09,0,1.43,1.39,5.52,"C_7_12JUN15",357,2.93440185878457,0.0196383162463468,0.49947854591283
"CSI072",250,"7/26/15",45,"C",8,3,9,8.45,1.33,0,0.09,1.86,1.57,4.53,"C_8_12JUN15",426,4.02522277966967,0.0649721802709309,0.665096410069093
"CSI073",251,"7/26/15",45,"C",9,2,13,11.34,1.99,0.65,0.15,2.03,1.57,4.94,"C_9_12JUN15",623,4.62849269997122,0.0698908766046045,0.719498803540137
"CSI074",252,"7/26/15",45,"C",10,3,13,10.45,1.69,0,0.1,1.41,1.63,5.27,"C_10_12JUN15",585,4.54515755189209,0.0669109619396612,0.713536609775376
"CSI075",253,"7/26/15",45,"C",11,2,0,0.41,1.17,0,0,2.67,2.45,7.24,"C_11_12JUN15",872,4.31825506141047,0.0147811902688574,0.637885293812571
"CSI079",257,"7/26/15",45,"D",4,3,0,0.45,1.77,0,0,2.19,2.05,5.7,"D_4_12JUN15",674,4.771041642457,0.0768214269081784,0.732682468513753
"CSI080",258,"7/26/15",45,"D",5,2,5,4.48,1.49,0,0,1.91,1.69,2.91,"D_5_12JUN15",632,3.6948367503983,0.0146137570798515,0.573082281060259
"CSI081",259,"7/26/15",45,"D",6,3,5,4.46,1.99,0,0,2.13,1.93,6.24,"D_6_12JUN15",802,4.7946968142113,0.0357275447942167,0.717139774842863
"CSI082",260,"7/26/15",45,"D",7,2,9,7.94,1.5,0,0,2.4,1.51,5.56,"D_7_12JUN15",561,4.12517788388027,0.0386816985953579,0.651899351220954
"CSI083",261,"7/26/15",45,"D",8,3,9,7.89,1.69,0,0,2.24,1.51,5.3,"D_8_12JUN15",597,4.11287301141822,0.0346720807498179,0.643617858184207
"CSI084",262,"7/26/15",45,"D",9,2,13,7,1.72,0,0,1.94,1.14,4.2,"D_9_12JUN15",842,4.63569849165568,0.0350847920114807,0.688341435637139
"CSI085",263,"7/26/15",45,"D",10,3,13,11.66,1.82,0,0,2.03,1.41,4.54,"D_10_12JUN15",877,5.10027784957224,0.0632900920362588,0.75276786244732
"CSI086",264,"7/26/15",45,"D",11,2,0,0.35,1.09,0,0,2.02,2.13,1.66,"D_11_12JUN15",721,4.59547260735359,0.0455271236971819,0.698479577579402
"CSI090",92,"6/29/15",18,"A",4,3,0,0.4,NA,NA,NA,2.66,2.7,8.25,"A_4_11JUN15",849,5.39487621110128,0.116900850919652,0.799944968165679
"CSI091",93,"6/29/15",18,"A",5,2,5,5.33,NA,NA,NA,2.19,1.56,5.03,"A_5_11JUN15",508,3.49854840876892,0.0176285121088545,0.561699001053664
"CSI092",94,"6/29/15",18,"A",6,3,5,5.58,NA,NA,NA,2.04,1.82,5.01,"A_6_11JUN15",372,3.2008382309653,0.0318198745260816,0.541029227381494
"CSI093",95,"6/29/15",18,"A",7,2,9,10.06,NA,NA,NA,1.28,1.14,5.2,"A_7_11JUN15",390,3.75395771782327,0.0415040619957467,0.62948063596074
"CSI094",96,"6/29/15",18,"A",8,3,9,10.11,NA,NA,NA,1.39,0.47,4.01,"A_8_11JUN15",395,3.67175530265292,0.0362557519321238,0.614380808352542
"CSI095",97,"6/29/15",18,"A",9,2,13,12.17,NA,NA,NA,1.07,0.83,0.79,"A_9_11JUN15",720,4.69514387030035,0.0574533482361784,0.713779694488273
"CSI096",98,"6/29/15",18,"A",10,3,13,13.6,NA,NA,NA,2.23,1.66,5.48,"A_10_11JUN15",946,5.05552865633363,0.0480440331816094,0.737905735991133
"CSI097",99,"6/29/15",18,"A",11,2,0,0.43,NA,NA,NA,2.52,1.85,5.2,"A_11_11JUN15",662,4.46049233150758,0.0533711931002922,0.68672978696467
"CSI102",104,"6/29/15",18,"B",5,2,5,6.48,NA,NA,NA,1.85,1.93,6.52,"B_5_11JUN15",897,4.66591272302756,0.0270459783254416,0.686371524251954
"CSI103",105,"6/29/15",18,"B",6,3,5,5.76,NA,NA,NA,1.89,1.56,4.3,"B_6_11JUN15",609,4.11136190853484,0.0417174837668597,0.641380615075167
"CSI104",107,"6/29/15",18,"B",8,3,9,9.1,NA,NA,NA,1.76,1.62,5.47,"B_8_11JUN15",418,3.984994645449,0.0650212348678772,0.660523403602353
"CSI105",108,"6/29/15",18,"B",9,2,13,14.29,NA,NA,NA,1.69,1.41,2.84,"B_9_11JUN15",991,5.20988655089365,0.0605259498196577,0.755307249853248
"CSI106",109,"6/29/15",18,"B",10,3,13,13.25,NA,NA,NA,1.67,1.51,4.67,"B_10_11JUN15",620,4.00553909718006,0.026413370652764,0.623129044603715
"CSI107",110,"6/29/15",18,"B",11,2,0,0.41,NA,NA,NA,2.1,1.88,5.55,"B_11_11JUN15",677,4.64845489538254,0.0553773006626823,0.713369730015024
"CSI111",114,"6/29/15",18,"C",4,3,0,0.45,NA,NA,NA,2.89,2.4,7.26,"C_4_12JUN15",758,5.01525270092356,0.0683429953847846,0.756521027614992
"CSI112",115,"6/29/15",18,"C",5,2,5,5.38,NA,NA,NA,2.08,1.83,5.19,"C_5_12JUN15",312,2.93828458390335,0.0277924590264878,0.511914737841607
"CSI113",116,"6/29/15",18,"C",6,3,5,5.68,NA,NA,NA,1.9,1.7,5.42,"C_6_12JUN15",383,3.33561740933019,0.0312867495886756,0.561039769751792
"CSI114",117,"6/29/15",18,"C",7,2,9,8.58,NA,NA,NA,1.43,1.39,5.52,"C_7_12JUN15",502,4.04431165880898,0.0526201128785636,0.650565854269454
"CSI115",118,"6/29/15",18,"C",8,3,9,8.76,NA,NA,NA,1.86,1.57,4.53,"C_8_12JUN15",707,4.70542805372858,0.0741933467367559,0.717332935449239
"CSI116",119,"6/29/15",18,"C",9,2,13,13.78,NA,NA,NA,2.03,1.57,4.94,"C_9_12JUN15",702,4.46674501116402,0.0427149626304704,0.681684797358634
"CSI117",120,"6/29/15",18,"C",10,3,13,12.16,NA,NA,NA,1.41,1.63,5.27,"C_10_12JUN15",645,4.1388480957025,0.0203845329406058,0.639925925893494
"CSI118",121,"6/29/15",18,"C",11,2,0,0.43,NA,NA,NA,2.67,2.45,7.24,"C_11_12JUN15",736,4.37609745133664,0.0305920175446849,0.663058078466627
"CSI122",125,"6/29/15",18,"D",4,3,0,0.43,NA,NA,NA,2.19,2.05,5.7,"D_4_12JUN15",439,3.55551456424236,0.0267016313917001,0.584575237529933
"CSI123",126,"6/29/15",18,"D",5,2,5,5.28,NA,NA,NA,1.91,1.69,2.91,"D_5_12JUN15",587,3.5566878068966,0.0128365337958343,0.558058896199315
"CSI124",127,"6/29/15",18,"D",6,3,5,5.58,NA,NA,NA,2.13,1.93,6.24,"D_6_12JUN15",614,4.04371205858117,0.0290150560976501,0.630022147220169
"CSI125",128,"6/29/15",18,"D",7,2,9,8.92,NA,NA,NA,2.4,1.51,5.56,"D_7_12JUN15",525,3.81712390830676,0.034468077086503,0.609618937587181
"CSI126",129,"6/29/15",18,"D",8,3,9,9.49,NA,NA,NA,2.24,1.51,5.3,"D_8_12JUN15",567,3.96907519698134,0.0403925446576299,0.626175954480187
"CSI127",130,"6/29/15",18,"D",9,2,13,13.56,NA,NA,NA,1.94,1.14,4.2,"D_9_12JUN15",716,4.29120083002836,0.0318245388882001,0.652923973087343
"CSI128",131,"6/29/15",18,"D",10,3,13,13.57,NA,NA,NA,2.03,1.41,4.54,"D_10_12JUN15",529,2.98995247987524,0.0076187067041069,0.476935166500201
"CSI129",132,"6/29/15",18,"D",11,2,0,0.38,NA,NA,NA,2.02,2.13,1.66,"D_11_12JUN15",555,4.04888812395551,0.0342935386149056,0.64093439457889
